AisleTitle,Hints,Description,primary tag,secondary tag
Title: 50 Shades of Pink,Create aisles with pink as the primary color,"Channeling Audrey Hepburn ""I Believe in Pink"" and looking for some nice dresses.",Tags: hot pink; cocktail dress; pink bow; silk dress; vibrant pink;,
Title: Accessories That Pop,,,Tags: ear rings; bangles;,
Title: All Black,,,Tags: little black dress;,
Title: All White,,,Tags: white jacket;,
Title: At the Races,,,,
Title: Biker Jackets,,,,
Title: Boxy Crop Top,,,,
Title: Boyfriend Sweater,,,Tags: sweater;,
Title: Breezy Spring,,,Tags: Bags; woven bags;,
Title: Colorful Woven Bags,,,Tags: fatigues;,
Title: Combat Ready!,,,Tags:,
Title: Crop Top Black Tie Look,,,Tags:,
Title: Crop Tops,,,Tags:,
Title: Cut Out Shirts,,,Tags:,
Title: Don’t Jump!,Jumpsuits,,Tags:,
Title: Embroidered Floral Shirts,,,Tags:,
Title: Faux Fur,,,Tags:,
Title: Floral Slip Dress,,,Tags:,
Title: Flowing Trench Coats,,,Tags:,
Title: For Her,Gifts,,Tags:,
Title: For Him,Gifts,,Tags:,
Title: Go Native,Tribal,,Tags:,
"Title: Green, No Envy",,,Tags:,
Title: Grey on Grey on Grey,,,Tags:,
Title: Happy Layering,Winter,,Tags:,
Title: High Necks,,,Tags:,
Title: High Waist Skirt,,,Tags:,
Title: Holiday Specials,,,Tags:,
Title: I See You,Mirrors,,Tags:,
Title: Indian Summer,,,Tags:,
Title: Jumper Around,,,Tags:,
Title: Lace Skirts,,,Tags:,
Title: Ladylike Pleated Skirts,,,Tags:,
Title: Mirrors,,,Tags:,
Title: Modern Basic,,,Tags:,
Title: Mules,,,Tags:,
Title: Open Front Shirts,,,Tags:,
Title: Origins,"Tribal, Organic, Natural",,Tags:,
Title: Oversized!,,,Tags:,
"Title: Part Nerd, Part Cool","Formal Tops, Informal Bottoms or Vice Versa",,Tags:,
Title: Pastels,,,Tags:,
Title: Plaid For You,,,Tags:,
Title: Pretty in Pink,,,Tags:,
Title: Punk’d,,,Tags:,
Title: Red Carpet,,,Tags:,
Title: Roses are Red,,,Tags:,
Title: Smock Dresses and Fringed Bangs,,,Tags:,
Title: The In Thing,Latest Styles,,Tags:,
Title: The Sky is Blue,,,Tags:,
Title: Tropical Prints,,,Tags:,
Title: Violets are Blue,,,Tags:,
Title: White Leather,,,Tags:,
Title: Wide Leg Pants,,,Tags:,
Title: Yellow Overload,,,Tags:,
Title: Romping in the Sun,,,Tags:,
Title: Overlay,,,Tags:,
Title: Origami,,,Tags:,
Title: Tied-up,Waist tied shirts,,Tags:,
Title: Make a Statement,,,Tags:,
Title: Edgy,,,Tags:,
